query_idx,query,n_words,spread,spread_reason,mrr,ap,p@1,p@2,p@3,p@5,r@2,ndcg@2,found_at,elapsed_s
20,Binary digits are also referred to as what?,8,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,30.0
21,Which of the following is not mentioned in the passage as a ,17,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,33.5
22,Which of the following aspects of blogging is cited as a mot,19,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,30.2
23,Which of the following is not a benefit of asynchronous comm,13,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,31.6
24,"According to the passage, which of the following aspects of ",17,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,28.7
25,What is not mentioned in the passage as something one might ,15,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,28.5
26,Which of the following is not mentioned in the passage as a ,22,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,34.7
27,Which of the following is an accurate description of Kirby M,12,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,33.3
28,Which of the following construction features would be consid,22,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,33.3
29,"According to the passage, which of the following would be th",21,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,32.8
30,"According to the passage, which of the following is of utmos",17,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,28.8
31,"For an athlete, which of the following can not be achieved s",15,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,31.1
32,"Based on the passage, which of the following is not suggeste",24,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,31.7
33,"According to the passage, why might a middle distance runner",17,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,27.1
34,"According to the passage, what does middle distance running ",10,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,33.1
35,Who discovered nuclear magnetic resonance?,5,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,31.3
36,In what year was the first patent granted for medical imagin,12,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,40.4
37,"According to the passage, what should humans have a strong u",21,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,31.5
38,"According to the passage, understanding intention helps huma",11,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,33.2
39,"According to the passage, which of the following is an accur",16,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,31.5
40,"According to the passage, which of the following is AI often",13,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,29.8
41,"According to the passage, which of the following is a streng",17,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,36.0
42,"According to the passage, which of following is not consider",17,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,28.5
43,"According to the passage, which of the following would not b",14,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,29.4
44,Which of the following statements about micro-expression int,11,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,36.0
45,Which of the following became more important as a result of ,13,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,38.1
46,"As a result of the Renaissance, less emphasis was put on whi",15,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,38.7
47,Which of the following does not reflect a motivation to use ,16,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,45.7
48,Which of the following does not reflect a motivation to use ,16,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,40.8
49,When did western Europe stop relying heavily on influences a,15,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,36.7
